DÍA;HORA;NOX;CO;HUMO
18/03/2022;7:25:00 a. m.;35;379;333
18/03/2022;7:26:00 a. m.;9;1113;160
18/03/2022;7:27:00 a. m.;72;906;38
18/03/2022;7:28:00 a. m.;86;854;365
18/03/2022;7:29:00 a. m.;99;794;282
18/03/2022;7:30:00 a. m.;38;312;97
18/03/2022;7:31:00 a. m.;96;242;317
18/03/2022;7:32:00 a. m.;54;258;213
18/03/2022;7:33:00 a. m.;97;948;319
18/03/2022;7:34:00 a. m.;39;419;23
18/03/2022;7:35:00 a. m.;33;652;1
18/03/2022;7:36:00 a. m.;150;886;301
18/03/2022;7:37:00 a. m.;61;126;414
18/03/2022;7:38:00 a. m.;98;663;295
18/03/2022;7:39:00 a. m.;89;642;39
18/03/2022;7:40:00 a. m.;70;1032;150
18/03/2022;7:41:00 a. m.;87;290;98
18/03/2022;7:42:00 a. m.;56;923;75
18/03/2022;7:43:00 a. m.;150;1108;61
18/03/2022;7:44:00 a. m.;53;960;131
18/03/2022;7:45:00 a. m.;140;352;14
18/03/2022;7:46:00 a. m.;54;627;132
18/03/2022;7:47:00 a. m.;64;673;350
18/03/2022;7:48:00 a. m.;97;1256;378
18/03/2022;7:49:00 a. m.;115;383;124
18/03/2022;7:50:00 a. m.;77;99;289
18/03/2022;7:51:00 a. m.;48;1155;303
18/03/2022;7:52:00 a. m.;69;1083;15
18/03/2022;7:53:00 a. m.;151;395;269
18/03/2022;7:54:00 a. m.;31;938;303
18/03/2022;7:55:00 a. m.;123;430;41
18/03/2022;7:56:00 a. m.;61;1244;34
18/03/2022;7:57:00 a. m.;26;850;288
18/03/2022;7:58:00 a. m.;62;812;378
18/03/2022;7:59:00 a. m.;96;444;270
18/03/2022;8:00:00 a. m.;133;562;173
18/03/2022;8:01:00 a. m.;67;347;242
18/03/2022;8:02:00 a. m.;133;842;241
18/03/2022;8:03:00 a. m.;126;1006;211
18/03/2022;8:04:00 a. m.;150;241;336
18/03/2022;8:05:00 a. m.;34;541;388
18/03/2022;8:06:00 a. m.;127;397;85
18/03/2022;8:07:00 a. m.;34;813;324
18/03/2022;8:08:00 a. m.;57;1254;189
18/03/2022;8:09:00 a. m.;13;179;202
18/03/2022;8:10:00 a. m.;93;832;420
18/03/2022;8:11:00 a. m.;142;554;137
18/03/2022;8:12:00 a. m.;45;102;125
18/03/2022;8:13:00 a. m.;146;453;412
18/03/2022;8:14:00 a. m.;93;689;231
18/03/2022;8:15:00 a. m.;148;669;96
18/03/2022;8:16:00 a. m.;115;832;363
18/03/2022;8:17:00 a. m.;60;806;173
18/03/2022;8:18:00 a. m.;137;753;65
18/03/2022;8:19:00 a. m.;31;1128;317
18/03/2022;8:20:00 a. m.;83;1033;350
18/03/2022;8:21:00 a. m.;64;670;121
18/03/2022;8:22:00 a. m.;109;1126;220
18/03/2022;8:23:00 a. m.;30;1189;62
18/03/2022;8:24:00 a. m.;65;486;111
18/03/2022;8:25:00 a. m.;145;896;425
18/03/2022;8:26:00 a. m.;26;953;180
18/03/2022;8:27:00 a. m.;89;532;303
18/03/2022;8:28:00 a. m.;38;715;117
18/03/2022;8:29:00 a. m.;35;950;218
18/03/2022;8:30:00 a. m.;22;1257;334
18/03/2022;8:31:00 a. m.;15;1227;325
18/03/2022;8:32:00 a. m.;90;762;297
18/03/2022;8:33:00 a. m.;99;355;219
18/03/2022;8:34:00 a. m.;105;580;432
18/03/2022;8:35:00 a. m.;2;20;280
18/03/2022;8:36:00 a. m.;21;148;131
18/03/2022;8:37:00 a. m.;147;92;9
18/03/2022;8:38:00 a. m.;12;918;405
18/03/2022;8:39:00 a. m.;15;941;270
18/03/2022;8:40:00 a. m.;43;814;95
18/03/2022;8:41:00 a. m.;129;32;91
18/03/2022;8:42:00 a. m.;71;422;50
18/03/2022;8:43:00 a. m.;139;159;123
18/03/2022;8:44:00 a. m.;28;2;258
18/03/2022;8:45:00 a. m.;99;942;290
18/03/2022;8:46:00 a. m.;92;619;246
18/03/2022;8:47:00 a. m.;137;940;233
18/03/2022;8:48:00 a. m.;119;449;24
18/03/2022;8:49:00 a. m.;101;1255;45
18/03/2022;8:50:00 a. m.;115;109;85
18/03/2022;8:51:00 a. m.;121;1130;286
18/03/2022;8:52:00 a. m.;49;621;3
18/03/2022;8:53:00 a. m.;23;1153;301
18/03/2022;8:54:00 a. m.;133;533;83
18/03/2022;8:55:00 a. m.;95;953;74
18/03/2022;8:56:00 a. m.;35;1012;164
18/03/2022;8:57:00 a. m.;72;452;391
18/03/2022;8:58:00 a. m.;14;912;361
18/03/2022;8:59:00 a. m.;110;323;423
18/03/2022;9:00:00 a. m.;70;65;75
18/03/2022;9:01:00 a. m.;61;501;225
18/03/2022;9:02:00 a. m.;41;743;42
18/03/2022;9:03:00 a. m.;34;1000;175
18/03/2022;9:04:00 a. m.;144;996;249
18/03/2022;9:05:00 a. m.;110;1231;309
18/03/2022;9:06:00 a. m.;60;899;103
18/03/2022;9:07:00 a. m.;35;967;337
18/03/2022;9:08:00 a. m.;72;89;343
18/03/2022;9:09:00 a. m.;45;1249;379
18/03/2022;9:10:00 a. m.;84;1153;81
18/03/2022;9:11:00 a. m.;114;744;104
18/03/2022;9:12:00 a. m.;96;1242;50
18/03/2022;9:13:00 a. m.;136;735;415
18/03/2022;9:14:00 a. m.;85;1043;322
18/03/2022;9:15:00 a. m.;36;506;281
18/03/2022;9:16:00 a. m.;44;95;304
18/03/2022;9:17:00 a. m.;46;674;12
18/03/2022;9:18:00 a. m.;31;579;397
18/03/2022;9:19:00 a. m.;35;392;140
18/03/2022;9:20:00 a. m.;85;511;185
18/03/2022;9:21:00 a. m.;29;900;398
18/03/2022;9:22:00 a. m.;140;72;410
18/03/2022;9:23:00 a. m.;8;1224;352
18/03/2022;9:24:00 a. m.;105;325;250
18/03/2022;9:25:00 a. m.;132;132;335
18/03/2022;9:26:00 a. m.;136;1256;341
18/03/2022;9:27:00 a. m.;104;197;304
18/03/2022;9:28:00 a. m.;117;1015;312
18/03/2022;9:29:00 a. m.;8;41;52
18/03/2022;9:30:00 a. m.;58;652;134
18/03/2022;9:31:00 a. m.;134;1199;219
18/03/2022;9:32:00 a. m.;113;1202;341
18/03/2022;9:33:00 a. m.;36;308;70
18/03/2022;9:34:00 a. m.;64;860;0
18/03/2022;9:35:00 a. m.;55;182;153
18/03/2022;9:36:00 a. m.;78;780;109
18/03/2022;9:37:00 a. m.;102;552;302
18/03/2022;9:38:00 a. m.;126;1079;70
18/03/2022;9:39:00 a. m.;114;514;396
18/03/2022;9:40:00 a. m.;36;171;64
18/03/2022;9:41:00 a. m.;58;131;347
18/03/2022;9:42:00 a. m.;32;1183;296
18/03/2022;9:43:00 a. m.;107;1120;251
18/03/2022;9:44:00 a. m.;82;6;31
18/03/2022;9:45:00 a. m.;90;453;73
18/03/2022;9:46:00 a. m.;50;492;90
18/03/2022;9:47:00 a. m.;20;1028;138
18/03/2022;9:48:00 a. m.;67;544;356
18/03/2022;9:49:00 a. m.;144;1250;392
18/03/2022;9:50:00 a. m.;54;235;199
18/03/2022;9:51:00 a. m.;81;331;11
18/03/2022;9:52:00 a. m.;48;427;63
18/03/2022;9:53:00 a. m.;92;747;410
18/03/2022;9:54:00 a. m.;138;1250;406
18/03/2022;9:55:00 a. m.;109;144;54
18/03/2022;9:56:00 a. m.;102;528;375
18/03/2022;9:57:00 a. m.;112;1018;193
18/03/2022;9:58:00 a. m.;66;991;383
18/03/2022;9:59:00 a. m.;77;605;416
18/03/2022;10:00:00 a. m.;77;817;226
18/03/2022;10:01:00 a. m.;11;964;92
18/03/2022;10:02:00 a. m.;104;481;360
18/03/2022;10:03:00 a. m.;75;368;90
18/03/2022;10:04:00 a. m.;73;872;412
18/03/2022;10:05:00 a. m.;48;616;272
18/03/2022;10:06:00 a. m.;137;490;289
18/03/2022;10:07:00 a. m.;19;321;243
18/03/2022;10:08:00 a. m.;123;1054;110
18/03/2022;10:09:00 a. m.;61;198;429
18/03/2022;10:10:00 a. m.;39;332;414
18/03/2022;10:11:00 a. m.;62;706;382
18/03/2022;10:12:00 a. m.;66;1125;272
18/03/2022;10:13:00 a. m.;54;807;309
18/03/2022;10:14:00 a. m.;66;659;225
18/03/2022;10:15:00 a. m.;27;1084;201
18/03/2022;10:16:00 a. m.;113;71;286
18/03/2022;10:17:00 a. m.;117;511;367
18/03/2022;10:18:00 a. m.;67;981;276
18/03/2022;10:19:00 a. m.;56;450;293
18/03/2022;10:20:00 a. m.;33;471;96
18/03/2022;10:21:00 a. m.;100;1035;102
18/03/2022;10:22:00 a. m.;140;1051;166
18/03/2022;10:23:00 a. m.;153;996;295
18/03/2022;10:24:00 a. m.;83;875;35
18/03/2022;10:25:00 a. m.;24;729;321
18/03/2022;10:26:00 a. m.;56;671;329
18/03/2022;10:27:00 a. m.;73;397;174
18/03/2022;10:28:00 a. m.;150;230;360
18/03/2022;10:29:00 a. m.;143;360;313
18/03/2022;10:30:00 a. m.;154;787;421
18/03/2022;10:31:00 a. m.;141;848;27
18/03/2022;10:32:00 a. m.;106;446;5
18/03/2022;10:33:00 a. m.;81;188;53
18/03/2022;10:34:00 a. m.;115;687;341
18/03/2022;10:35:00 a. m.;56;170;39
18/03/2022;10:36:00 a. m.;144;1153;305
18/03/2022;10:37:00 a. m.;0;0;0
18/03/2022;10:38:00 a. m.;0;0;0
18/03/2022;10:39:00 a. m.;0;0;0
18/03/2022;10:40:00 a. m.;0;0;0
18/03/2022;10:41:00 a. m.;0;0;0
18/03/2022;10:42:00 a. m.;0;0;0
18/03/2022;10:43:00 a. m.;0;0;0
18/03/2022;10:44:00 a. m.;0;0;0
18/03/2022;10:45:00 a. m.;0;0;0
18/03/2022;10:46:00 a. m.;0;0;0
18/03/2022;10:47:00 a. m.;0;0;0
18/03/2022;10:48:00 a. m.;0;0;0
18/03/2022;10:49:00 a. m.;0;0;0
18/03/2022;10:50:00 a. m.;0;0;0
18/03/2022;10:51:00 a. m.;0;0;0
18/03/2022;10:52:00 a. m.;0;0;0
18/03/2022;10:53:00 a. m.;0;0;0
18/03/2022;10:54:00 a. m.;0;0;0
18/03/2022;10:55:00 a. m.;0;0;0
18/03/2022;10:56:00 a. m.;0;0;0
18/03/2022;10:57:00 a. m.;0;0;0
18/03/2022;10:58:00 a. m.;0;0;0
18/03/2022;10:59:00 a. m.;0;0;0
18/03/2022;11:00:00 a. m.;0;0;0
18/03/2022;11:01:00 a. m.;0;0;0
18/03/2022;11:02:00 a. m.;0;0;0
18/03/2022;11:03:00 a. m.;0;0;0
18/03/2022;11:04:00 a. m.;0;0;0
18/03/2022;11:05:00 a. m.;0;0;0
18/03/2022;11:06:00 a. m.;0;0;0
18/03/2022;11:07:00 a. m.;0;0;0
18/03/2022;11:08:00 a. m.;0;0;0
18/03/2022;11:09:00 a. m.;0;0;0
18/03/2022;11:10:00 a. m.;0;0;0
18/03/2022;11:11:00 a. m.;0;0;0
18/03/2022;11:12:00 a. m.;0;0;0
18/03/2022;11:13:00 a. m.;0;0;0
18/03/2022;11:14:00 a. m.;0;0;0
18/03/2022;11:15:00 a. m.;0;0;0
18/03/2022;11:16:00 a. m.;0;0;0
18/03/2022;11:17:00 a. m.;0;0;0
18/03/2022;11:18:00 a. m.;0;0;0
18/03/2022;11:19:00 a. m.;0;0;0
18/03/2022;11:20:00 a. m.;0;834;195
18/03/2022;11:21:00 a. m.;57;1125;423
18/03/2022;11:22:00 a. m.;108;84;382
18/03/2022;11:23:00 a. m.;133;342;231
18/03/2022;11:24:00 a. m.;93;724;24
18/03/2022;11:25:00 a. m.;132;1135;183
18/03/2022;11:26:00 a. m.;137;446;149
18/03/2022;11:27:00 a. m.;56;1068;337
18/03/2022;11:28:00 a. m.;136;371;423
18/03/2022;11:29:00 a. m.;152;934;120
18/03/2022;11:30:00 a. m.;48;322;238
18/03/2022;11:31:00 a. m.;13;258;116
18/03/2022;11:32:00 a. m.;48;507;13
18/03/2022;11:33:00 a. m.;129;495;34
18/03/2022;11:34:00 a. m.;20;251;170
18/03/2022;11:35:00 a. m.;60;573;397
18/03/2022;11:36:00 a. m.;38;292;154
18/03/2022;11:37:00 a. m.;94;20;146
18/03/2022;11:38:00 a. m.;84;77;381
18/03/2022;11:39:00 a. m.;143;803;412
18/03/2022;11:40:00 a. m.;136;641;92
18/03/2022;11:41:00 a. m.;147;933;324
18/03/2022;11:42:00 a. m.;5;994;43
18/03/2022;11:43:00 a. m.;134;1175;331
18/03/2022;11:44:00 a. m.;26;343;139
18/03/2022;11:45:00 a. m.;2;2;7
18/03/2022;11:46:00 a. m.;49;479;82
18/03/2022;11:47:00 a. m.;28;432;50
18/03/2022;11:48:00 a. m.;44;281;279
18/03/2022;11:49:00 a. m.;28;705;240
18/03/2022;11:50:00 a. m.;81;370;225
18/03/2022;11:51:00 a. m.;125;251;174
18/03/2022;11:52:00 a. m.;16;781;359
18/03/2022;11:53:00 a. m.;70;1120;29
18/03/2022;11:54:00 a. m.;70;755;212
18/03/2022;11:55:00 a. m.;149;962;280
18/03/2022;11:56:00 a. m.;36;357;7
18/03/2022;11:57:00 a. m.;86;1177;281
18/03/2022;11:58:00 a. m.;101;817;340
18/03/2022;11:59:00 a. m.;2;320;138
18/03/2022;12:00:00 p. m.;18;859;282
18/03/2022;12:01:00 p. m.;97;889;169
18/03/2022;12:02:00 p. m.;126;854;81
18/03/2022;12:03:00 p. m.;51;1217;9
18/03/2022;12:04:00 p. m.;153;924;138
18/03/2022;12:05:00 p. m.;17;448;230
18/03/2022;12:06:00 p. m.;28;1052;90
18/03/2022;12:07:00 p. m.;88;60;414
18/03/2022;12:08:00 p. m.;3;1193;205
18/03/2022;12:09:00 p. m.;95;317;211
18/03/2022;12:10:00 p. m.;32;488;424
18/03/2022;12:11:00 p. m.;55;33;383
18/03/2022;12:12:00 p. m.;91;544;86
18/03/2022;12:13:00 p. m.;5;276;414
18/03/2022;12:14:00 p. m.;98;794;326
18/03/2022;12:15:00 p. m.;7;76;152
18/03/2022;12:16:00 p. m.;23;91;239
18/03/2022;12:17:00 p. m.;118;53;16
18/03/2022;12:18:00 p. m.;43;696;390
18/03/2022;12:19:00 p. m.;89;355;134
18/03/2022;12:20:00 p. m.;109;519;371
18/03/2022;12:21:00 p. m.;90;811;36
18/03/2022;12:22:00 p. m.;82;864;390
18/03/2022;12:23:00 p. m.;45;1153;55
18/03/2022;12:24:00 p. m.;74;451;327
18/03/2022;12:25:00 p. m.;101;1084;35
18/03/2022;12:26:00 p. m.;60;1063;67
18/03/2022;12:27:00 p. m.;9;598;236
18/03/2022;12:28:00 p. m.;14;1028;247
18/03/2022;12:29:00 p. m.;2;294;328
18/03/2022;12:30:00 p. m.;100;1247;318
18/03/2022;12:31:00 p. m.;133;985;323
18/03/2022;12:32:00 p. m.;72;565;162
18/03/2022;12:33:00 p. m.;129;1148;305
18/03/2022;12:34:00 p. m.;149;458;9
18/03/2022;12:35:00 p. m.;108;265;123
18/03/2022;12:36:00 p. m.;26;1081;417
18/03/2022;12:37:00 p. m.;24;192;84
18/03/2022;12:38:00 p. m.;154;1163;388
18/03/2022;12:39:00 p. m.;115;88;375
18/03/2022;12:40:00 p. m.;137;542;64
18/03/2022;12:41:00 p. m.;68;397;356
18/03/2022;12:42:00 p. m.;107;221;234
18/03/2022;12:43:00 p. m.;31;14;368
18/03/2022;12:44:00 p. m.;70;641;345
18/03/2022;12:45:00 p. m.;76;104;9
18/03/2022;12:46:00 p. m.;84;390;155
18/03/2022;12:47:00 p. m.;26;159;341
18/03/2022;12:48:00 p. m.;37;240;251
18/03/2022;12:49:00 p. m.;100;438;79
18/03/2022;12:50:00 p. m.;42;558;353
18/03/2022;12:51:00 p. m.;60;452;259
18/03/2022;12:52:00 p. m.;39;417;148
18/03/2022;12:53:00 p. m.;101;1241;299
18/03/2022;12:54:00 p. m.;112;1247;226
18/03/2022;12:55:00 p. m.;140;482;164
18/03/2022;12:56:00 p. m.;133;136;245
18/03/2022;12:57:00 p. m.;89;466;417
18/03/2022;12:58:00 p. m.;73;727;215
18/03/2022;12:59:00 p. m.;132;1236;18
18/03/2022;1:00:00 p. m.;141;1127;189
18/03/2022;1:01:00 p. m.;23;491;430
18/03/2022;1:02:00 p. m.;79;1171;136
18/03/2022;1:03:00 p. m.;96;409;232
18/03/2022;1:04:00 p. m.;140;801;268
18/03/2022;1:05:00 p. m.;100;738;323
18/03/2022;1:06:00 p. m.;123;425;31
18/03/2022;1:07:00 p. m.;29;107;6
18/03/2022;1:08:00 p. m.;99;346;234
18/03/2022;1:09:00 p. m.;44;114;423
18/03/2022;1:10:00 p. m.;39;554;114
18/03/2022;1:11:00 p. m.;97;462;277
18/03/2022;1:12:00 p. m.;12;317;309
18/03/2022;1:13:00 p. m.;33;259;138
18/03/2022;1:14:00 p. m.;111;872;217
18/03/2022;1:15:00 p. m.;111;749;389
18/03/2022;1:16:00 p. m.;71;499;245
18/03/2022;1:17:00 p. m.;133;1205;6
18/03/2022;1:18:00 p. m.;86;723;303
18/03/2022;1:19:00 p. m.;122;962;89
18/03/2022;1:20:00 p. m.;99;287;263
18/03/2022;1:21:00 p. m.;72;551;380
18/03/2022;1:22:00 p. m.;150;196;17
18/03/2022;1:23:00 p. m.;97;979;410
18/03/2022;1:24:00 p. m.;27;394;417
18/03/2022;1:25:00 p. m.;120;269;270
18/03/2022;1:26:00 p. m.;8;568;8
18/03/2022;1:27:00 p. m.;2;141;96
18/03/2022;1:28:00 p. m.;148;1024;99
18/03/2022;1:29:00 p. m.;96;1050;389
18/03/2022;1:30:00 p. m.;51;894;163
18/03/2022;1:31:00 p. m.;104;985;365
18/03/2022;1:32:00 p. m.;64;408;124
18/03/2022;1:33:00 p. m.;31;883;420
18/03/2022;1:34:00 p. m.;100;719;191
18/03/2022;1:35:00 p. m.;1;1045;71
18/03/2022;1:36:00 p. m.;33;1244;273
18/03/2022;1:37:00 p. m.;135;580;320
18/03/2022;1:38:00 p. m.;111;354;354
18/03/2022;1:39:00 p. m.;46;226;44
18/03/2022;1:40:00 p. m.;27;382;344
18/03/2022;1:41:00 p. m.;30;208;168
18/03/2022;1:42:00 p. m.;112;694;16
18/03/2022;1:43:00 p. m.;81;1242;412
18/03/2022;1:44:00 p. m.;85;311;368
18/03/2022;1:45:00 p. m.;5;183;421
18/03/2022;1:46:00 p. m.;35;625;298
18/03/2022;1:47:00 p. m.;46;769;366
18/03/2022;1:48:00 p. m.;24;185;112
18/03/2022;1:49:00 p. m.;39;531;407
18/03/2022;1:50:00 p. m.;75;798;96
18/03/2022;1:51:00 p. m.;100;883;29
18/03/2022;1:52:00 p. m.;59;64;76
18/03/2022;1:53:00 p. m.;15;78;314
18/03/2022;1:54:00 p. m.;61;144;303
18/03/2022;1:55:00 p. m.;55;83;53
18/03/2022;1:56:00 p. m.;6;669;76
18/03/2022;1:57:00 p. m.;50;770;286
18/03/2022;1:58:00 p. m.;31;657;88
18/03/2022;1:59:00 p. m.;94;911;114
18/03/2022;2:00:00 p. m.;152;650;103
18/03/2022;2:01:00 p. m.;106;1166;161
18/03/2022;2:02:00 p. m.;50;80;377
18/03/2022;2:03:00 p. m.;60;682;47
18/03/2022;2:04:00 p. m.;79;969;21
18/03/2022;2:05:00 p. m.;75;394;426
18/03/2022;2:06:00 p. m.;144;711;211
18/03/2022;2:07:00 p. m.;37;961;419
18/03/2022;2:08:00 p. m.;151;729;354
18/03/2022;2:09:00 p. m.;134;794;404
18/03/2022;2:10:00 p. m.;67;1160;97
18/03/2022;2:11:00 p. m.;132;784;257
18/03/2022;2:12:00 p. m.;139;168;197
18/03/2022;2:13:00 p. m.;43;535;225
18/03/2022;2:14:00 p. m.;80;882;138
18/03/2022;2:15:00 p. m.;85;1030;91
18/03/2022;2:16:00 p. m.;95;762;359
18/03/2022;2:17:00 p. m.;120;1058;245
18/03/2022;2:18:00 p. m.;118;270;11
18/03/2022;2:19:00 p. m.;96;723;390
18/03/2022;2:20:00 p. m.;17;1106;28
18/03/2022;2:21:00 p. m.;114;902;264
18/03/2022;2:22:00 p. m.;93;346;260
18/03/2022;2:23:00 p. m.;45;914;239
18/03/2022;2:24:00 p. m.;79;1013;384
18/03/2022;2:25:00 p. m.;88;1201;206
18/03/2022;2:26:00 p. m.;138;15;155
18/03/2022;2:27:00 p. m.;54;1166;27
18/03/2022;2:28:00 p. m.;7;1040;146
18/03/2022;2:29:00 p. m.;130;438;395
18/03/2022;2:30:00 p. m.;112;940;407
18/03/2022;2:31:00 p. m.;88;364;314
18/03/2022;2:32:00 p. m.;61;797;81
18/03/2022;2:33:00 p. m.;132;909;338
18/03/2022;2:34:00 p. m.;115;453;148
18/03/2022;2:35:00 p. m.;55;925;126
18/03/2022;2:36:00 p. m.;118;276;31
18/03/2022;2:37:00 p. m.;54;1217;43
18/03/2022;2:38:00 p. m.;135;390;140
18/03/2022;2:39:00 p. m.;120;196;233
18/03/2022;2:40:00 p. m.;120;474;156
18/03/2022;2:41:00 p. m.;81;556;19
18/03/2022;2:42:00 p. m.;18;450;44
18/03/2022;2:43:00 p. m.;21;1188;245
18/03/2022;2:44:00 p. m.;49;632;59
18/03/2022;2:45:00 p. m.;73;88;266
18/03/2022;2:46:00 p. m.;136;652;370
18/03/2022;2:47:00 p. m.;92;230;89
18/03/2022;2:48:00 p. m.;130;903;167
18/03/2022;2:49:00 p. m.;122;466;220
18/03/2022;2:50:00 p. m.;98;383;355
18/03/2022;2:51:00 p. m.;125;318;130
18/03/2022;2:52:00 p. m.;2;589;231
18/03/2022;2:53:00 p. m.;45;1066;367
18/03/2022;2:54:00 p. m.;148;1028;362
18/03/2022;2:55:00 p. m.;102;1178;24
18/03/2022;2:56:00 p. m.;31;414;11
18/03/2022;2:57:00 p. m.;63;547;158
18/03/2022;2:58:00 p. m.;34;85;215
18/03/2022;2:59:00 p. m.;86;891;264
18/03/2022;3:00:00 p. m.;67;96;203
18/03/2022;3:01:00 p. m.;28;32;108
18/03/2022;3:02:00 p. m.;69;512;65
18/03/2022;3:03:00 p. m.;122;1193;12
18/03/2022;3:04:00 p. m.;52;832;238
18/03/2022;3:05:00 p. m.;138;871;110
18/03/2022;3:06:00 p. m.;54;245;257
18/03/2022;3:07:00 p. m.;153;81;217
18/03/2022;3:08:00 p. m.;135;904;415
18/03/2022;3:09:00 p. m.;154;849;128
18/03/2022;3:10:00 p. m.;96;1193;331
18/03/2022;3:11:00 p. m.;8;338;193
18/03/2022;3:12:00 p. m.;121;798;412
18/03/2022;3:13:00 p. m.;90;839;205
18/03/2022;3:14:00 p. m.;150;226;171
18/03/2022;3:15:00 p. m.;36;1130;396
18/03/2022;3:16:00 p. m.;65;5;330
18/03/2022;3:17:00 p. m.;132;200;203
18/03/2022;3:18:00 p. m.;67;1160;350
18/03/2022;3:19:00 p. m.;82;54;226
18/03/2022;3:20:00 p. m.;141;396;288
18/03/2022;3:21:00 p. m.;51;289;206
18/03/2022;3:22:00 p. m.;40;942;120
18/03/2022;3:23:00 p. m.;96;963;30
18/03/2022;3:24:00 p. m.;29;83;294
18/03/2022;3:25:00 p. m.;41;638;149
18/03/2022;3:26:00 p. m.;102;1196;169
18/03/2022;3:27:00 p. m.;152;432;195
18/03/2022;3:28:00 p. m.;107;531;223
18/03/2022;3:29:00 p. m.;145;635;270
18/03/2022;3:30:00 p. m.;154;725;60
18/03/2022;3:31:00 p. m.;7;64;198
18/03/2022;3:32:00 p. m.;116;679;397
18/03/2022;3:33:00 p. m.;120;456;297
18/03/2022;3:34:00 p. m.;107;189;419
18/03/2022;3:35:00 p. m.;70;518;27
18/03/2022;3:36:00 p. m.;102;680;410
