0,DÍA,HORA,NOX,CO,HUMO
75,18/03/2022,07:14:00 a. m.,84,1175,327
76,18/03/2022,07:15:00 a. m.,142,1087,369
77,18/03/2022,07:16:00 a. m.,93,1018,217
78,18/03/2022,07:17:00 a. m.,145,1199,133
79,18/03/2022,07:18:00 a. m.,108,901,196
80,18/03/2022,07:19:00 a. m.,144,656,38
81,18/03/2022,07:20:00 a. m.,47,448,319
82,18/03/2022,07:21:00 a. m.,12,1180,79
83,18/03/2022,07:22:00 a. m.,79,936,157
84,18/03/2022,07:23:00 a. m.,65,163,169
85,18/03/2022,07:24:00 a. m.,62,459,16
86,18/03/2022,07:25:00 a. m.,35,379,333
87,18/03/2022,07:26:00 a. m.,9,1113,160
88,18/03/2022,07:27:00 a. m.,72,906,38
89,18/03/2022,07:28:00 a. m.,86,854,365
90,18/03/2022,07:29:00 a. m.,99,794,282
91,18/03/2022,07:30:00 a. m.,38,312,97
92,18/03/2022,07:31:00 a. m.,96,242,317
93,18/03/2022,07:32:00 a. m.,54,258,213
94,18/03/2022,07:33:00 a. m.,97,948,319
95,18/03/2022,07:34:00 a. m.,39,419,23
96,18/03/2022,07:35:00 a. m.,33,652,1
97,18/03/2022,07:36:00 a. m.,150,886,301
98,18/03/2022,07:37:00 a. m.,61,126,414
99,18/03/2022,07:38:00 a. m.,98,663,295
100,18/03/2022,07:39:00 a. m.,89,642,39
101,18/03/2022,07:40:00 a. m.,70,1032,150
102,18/03/2022,07:41:00 a. m.,87,290,98
103,18/03/2022,07:42:00 a. m.,56,923,75
104,18/03/2022,07:43:00 a. m.,150,1108,61
105,18/03/2022,07:44:00 a. m.,53,960,131
106,18/03/2022,07:45:00 a. m.,140,352,14
107,18/03/2022,07:46:00 a. m.,54,627,132
108,18/03/2022,07:47:00 a. m.,64,673,350
109,18/03/2022,07:48:00 a. m.,97,1256,378
110,18/03/2022,07:49:00 a. m.,115,383,124
111,18/03/2022,07:50:00 a. m.,77,99,289
112,18/03/2022,07:51:00 a. m.,48,1155,303
113,18/03/2022,07:52:00 a. m.,69,1083,15
114,18/03/2022,07:53:00 a. m.,151,395,269
115,18/03/2022,07:54:00 a. m.,31,938,303
116,18/03/2022,07:55:00 a. m.,123,430,41
117,18/03/2022,07:56:00 a. m.,61,1244,34
118,18/03/2022,07:57:00 a. m.,26,850,288
119,18/03/2022,07:58:00 a. m.,62,812,378
120,18/03/2022,07:59:00 a. m.,96,444,270
121,18/03/2022,08:00:00 a. m.,133,562,173
122,18/03/2022,08:01:00 a. m.,67,347,242
123,18/03/2022,08:02:00 a. m.,133,842,241
124,18/03/2022,08:03:00 a. m.,126,1006,211
125,18/03/2022,08:04:00 a. m.,150,241,336
126,18/03/2022,08:05:00 a. m.,34,541,388
127,18/03/2022,08:06:00 a. m.,127,397,85
128,18/03/2022,08:07:00 a. m.,34,813,324
129,18/03/2022,08:08:00 a. m.,57,1254,189
130,18/03/2022,08:09:00 a. m.,13,179,202
131,18/03/2022,08:10:00 a. m.,93,832,420
132,18/03/2022,08:11:00 a. m.,142,554,137
133,18/03/2022,08:12:00 a. m.,45,102,125
134,18/03/2022,08:13:00 a. m.,146,453,412
135,18/03/2022,08:14:00 a. m.,93,689,231
136,18/03/2022,08:15:00 a. m.,148,669,96
137,18/03/2022,08:16:00 a. m.,115,832,363
138,18/03/2022,08:17:00 a. m.,60,806,173
139,18/03/2022,08:18:00 a. m.,137,753,65
140,18/03/2022,08:19:00 a. m.,31,1128,317
141,18/03/2022,08:20:00 a. m.,83,1033,350
142,18/03/2022,08:21:00 a. m.,64,670,121
143,18/03/2022,08:22:00 a. m.,109,1126,220
144,18/03/2022,08:23:00 a. m.,30,1189,62
145,18/03/2022,08:24:00 a. m.,65,486,111
146,18/03/2022,08:25:00 a. m.,145,896,425
147,18/03/2022,08:26:00 a. m.,26,953,180
148,18/03/2022,08:27:00 a. m.,89,532,303
149,18/03/2022,08:28:00 a. m.,38,715,117
150,18/03/2022,08:29:00 a. m.,35,950,218
151,18/03/2022,08:30:00 a. m.,22,1257,334
152,18/03/2022,08:31:00 a. m.,15,1227,325
153,18/03/2022,08:32:00 a. m.,90,762,297
154,18/03/2022,08:33:00 a. m.,99,355,219
155,18/03/2022,08:34:00 a. m.,105,580,432
156,18/03/2022,08:35:00 a. m.,2,20,280
157,18/03/2022,08:36:00 a. m.,21,148,131
158,18/03/2022,08:37:00 a. m.,147,92,9
159,18/03/2022,08:38:00 a. m.,12,918,405
160,18/03/2022,08:39:00 a. m.,15,941,270
161,18/03/2022,08:40:00 a. m.,43,814,95
162,18/03/2022,08:41:00 a. m.,129,32,91
163,18/03/2022,08:42:00 a. m.,71,422,50
164,18/03/2022,08:43:00 a. m.,139,159,123
165,18/03/2022,08:44:00 a. m.,28,2,258
166,18/03/2022,08:45:00 a. m.,99,942,290
167,18/03/2022,08:46:00 a. m.,92,619,246
168,18/03/2022,08:47:00 a. m.,137,940,233
169,18/03/2022,08:48:00 a. m.,119,449,24
170,18/03/2022,08:49:00 a. m.,101,1255,45
171,18/03/2022,08:50:00 a. m.,115,109,85
172,18/03/2022,08:51:00 a. m.,121,1130,286
173,18/03/2022,08:52:00 a. m.,49,621,3
174,18/03/2022,08:53:00 a. m.,23,1153,301
175,18/03/2022,08:54:00 a. m.,133,533,83
176,18/03/2022,08:55:00 a. m.,95,953,74
177,18/03/2022,08:56:00 a. m.,35,1012,164
178,18/03/2022,08:57:00 a. m.,72,452,391
179,18/03/2022,08:58:00 a. m.,14,912,361
180,18/03/2022,08:59:00 a. m.,110,323,423
181,18/03/2022,09:00:00 a. m.,70,65,75
182,18/03/2022,09:01:00 a. m.,61,501,225
183,18/03/2022,09:02:00 a. m.,41,743,42
184,18/03/2022,09:03:00 a. m.,34,1000,175
185,18/03/2022,09:04:00 a. m.,144,996,249
186,18/03/2022,09:05:00 a. m.,110,1231,309
187,18/03/2022,09:06:00 a. m.,60,899,103
188,18/03/2022,09:07:00 a. m.,35,967,337
189,18/03/2022,09:08:00 a. m.,72,89,343
190,18/03/2022,09:09:00 a. m.,45,1249,379
191,18/03/2022,09:10:00 a. m.,84,1153,81
192,18/03/2022,09:11:00 a. m.,114,744,104
193,18/03/2022,09:12:00 a. m.,96,1242,50
194,18/03/2022,09:13:00 a. m.,136,735,415
195,18/03/2022,09:14:00 a. m.,85,1043,322
196,18/03/2022,09:15:00 a. m.,36,506,281
197,18/03/2022,09:16:00 a. m.,44,95,304
198,18/03/2022,09:17:00 a. m.,46,674,12
199,18/03/2022,09:18:00 a. m.,31,579,397
200,18/03/2022,09:19:00 a. m.,35,392,140
201,18/03/2022,09:20:00 a. m.,85,511,185
202,18/03/2022,09:21:00 a. m.,29,900,398
203,18/03/2022,09:22:00 a. m.,140,72,410
204,18/03/2022,09:23:00 a. m.,8,1224,352
205,18/03/2022,09:24:00 a. m.,105,325,250
206,18/03/2022,09:25:00 a. m.,132,132,335
207,18/03/2022,09:26:00 a. m.,136,1256,341
208,18/03/2022,09:27:00 a. m.,104,197,304
209,18/03/2022,09:28:00 a. m.,117,1015,312
210,18/03/2022,09:29:00 a. m.,8,41,52
211,18/03/2022,09:30:00 a. m.,58,652,134
212,18/03/2022,09:31:00 a. m.,134,1199,219
213,18/03/2022,09:32:00 a. m.,113,1202,341
214,18/03/2022,09:33:00 a. m.,36,308,70
215,18/03/2022,09:34:00 a. m.,64,860,0
216,18/03/2022,09:35:00 a. m.,55,182,153
217,18/03/2022,09:36:00 a. m.,78,780,109
218,18/03/2022,09:37:00 a. m.,102,552,302
219,18/03/2022,09:38:00 a. m.,126,1079,70
220,18/03/2022,09:39:00 a. m.,114,514,396
221,18/03/2022,09:40:00 a. m.,36,171,64
222,18/03/2022,09:41:00 a. m.,58,131,347
223,18/03/2022,09:42:00 a. m.,32,1183,296
224,18/03/2022,09:43:00 a. m.,107,1120,251
225,18/03/2022,09:44:00 a. m.,82,6,31
226,18/03/2022,09:45:00 a. m.,90,453,73
227,18/03/2022,09:46:00 a. m.,50,492,90
228,18/03/2022,09:47:00 a. m.,20,1028,138
229,18/03/2022,09:48:00 a. m.,67,544,356
230,18/03/2022,09:49:00 a. m.,144,1250,392
231,18/03/2022,09:50:00 a. m.,54,235,199
232,18/03/2022,09:51:00 a. m.,81,331,11
233,18/03/2022,09:52:00 a. m.,48,427,63
234,18/03/2022,09:53:00 a. m.,92,747,410
235,18/03/2022,09:54:00 a. m.,138,1250,406
236,18/03/2022,09:55:00 a. m.,109,144,54
237,18/03/2022,09:56:00 a. m.,102,528,375
238,18/03/2022,09:57:00 a. m.,112,1018,193
239,18/03/2022,09:58:00 a. m.,66,991,383
240,18/03/2022,09:59:00 a. m.,77,605,416
241,18/03/2022,10:00:00 a. m.,77,817,226
242,18/03/2022,10:01:00 a. m.,11,964,92
243,18/03/2022,10:02:00 a. m.,104,481,360
244,18/03/2022,10:03:00 a. m.,75,368,90
245,18/03/2022,10:04:00 a. m.,73,872,412
246,18/03/2022,10:05:00 a. m.,48,616,272
247,18/03/2022,10:06:00 a. m.,137,490,289
248,18/03/2022,10:07:00 a. m.,19,321,243
249,18/03/2022,10:08:00 a. m.,123,1054,110
250,18/03/2022,10:09:00 a. m.,61,198,429
251,18/03/2022,10:10:00 a. m.,39,332,414
252,18/03/2022,10:11:00 a. m.,62,706,382
253,18/03/2022,10:12:00 a. m.,66,1125,272
254,18/03/2022,10:13:00 a. m.,54,807,309
255,18/03/2022,10:14:00 a. m.,66,659,225
256,18/03/2022,10:15:00 a. m.,27,1084,201
257,18/03/2022,10:16:00 a. m.,113,71,286
258,18/03/2022,10:17:00 a. m.,117,511,367
259,18/03/2022,10:18:00 a. m.,67,981,276
260,18/03/2022,10:19:00 a. m.,56,450,293
261,18/03/2022,10:20:00 a. m.,33,471,96
262,18/03/2022,10:21:00 a. m.,100,1035,102
263,18/03/2022,10:22:00 a. m.,140,1051,166
264,18/03/2022,10:23:00 a. m.,153,996,295
265,18/03/2022,10:24:00 a. m.,83,875,35
266,18/03/2022,10:25:00 a. m.,24,729,321
267,18/03/2022,10:26:00 a. m.,56,671,329
268,18/03/2022,10:27:00 a. m.,73,397,174
269,18/03/2022,10:28:00 a. m.,150,230,360
270,18/03/2022,10:29:00 a. m.,143,360,313
271,18/03/2022,10:30:00 a. m.,154,787,421
272,18/03/2022,10:31:00 a. m.,141,848,27
273,18/03/2022,10:32:00 a. m.,106,446,5
274,18/03/2022,10:33:00 a. m.,81,188,53
275,18/03/2022,10:34:00 a. m.,115,687,341
276,18/03/2022,10:35:00 a. m.,56,170,39
277,18/03/2022,10:36:00 a. m.,144,1153,305
278,18/03/2022,10:37:00 a. m.,0,0,0
279,18/03/2022,10:38:00 a. m.,0,0,0
280,18/03/2022,10:39:00 a. m.,0,0,0
281,18/03/2022,10:40:00 a. m.,0,0,0
282,18/03/2022,10:41:00 a. m.,0,0,0
283,18/03/2022,10:42:00 a. m.,0,0,0
284,18/03/2022,10:43:00 a. m.,0,0,0
285,18/03/2022,10:44:00 a. m.,0,0,0
286,18/03/2022,10:45:00 a. m.,0,0,0
287,18/03/2022,10:46:00 a. m.,0,0,0
288,18/03/2022,10:47:00 a. m.,0,0,0
289,18/03/2022,10:48:00 a. m.,0,0,0
290,18/03/2022,10:49:00 a. m.,0,0,0
291,18/03/2022,10:50:00 a. m.,0,0,0
292,18/03/2022,10:51:00 a. m.,0,0,0
293,18/03/2022,10:52:00 a. m.,0,0,0
294,18/03/2022,10:53:00 a. m.,0,0,0
295,18/03/2022,10:54:00 a. m.,0,0,0
296,18/03/2022,10:55:00 a. m.,0,0,0
297,18/03/2022,10:56:00 a. m.,0,0,0
298,18/03/2022,10:57:00 a. m.,0,0,0
299,18/03/2022,10:58:00 a. m.,0,0,0
300,18/03/2022,10:59:00 a. m.,0,0,0
301,18/03/2022,11:00:00 a. m.,0,0,0
302,18/03/2022,11:01:00 a. m.,0,0,0
303,18/03/2022,11:02:00 a. m.,0,0,0
304,18/03/2022,11:03:00 a. m.,0,0,0
305,18/03/2022,11:04:00 a. m.,0,0,0
306,18/03/2022,11:05:00 a. m.,0,0,0
307,18/03/2022,11:06:00 a. m.,0,0,0
308,18/03/2022,11:07:00 a. m.,0,0,0
309,18/03/2022,11:08:00 a. m.,0,0,0
310,18/03/2022,11:09:00 a. m.,0,0,0
311,18/03/2022,11:10:00 a. m.,0,0,0
312,18/03/2022,11:11:00 a. m.,0,0,0
313,18/03/2022,11:12:00 a. m.,0,0,0
314,18/03/2022,11:13:00 a. m.,0,0,0
315,18/03/2022,11:14:00 a. m.,0,0,0
316,18/03/2022,11:15:00 a. m.,0,0,0
317,18/03/2022,11:16:00 a. m.,0,0,0
318,18/03/2022,11:17:00 a. m.,0,0,0
319,18/03/2022,11:18:00 a. m.,0,0,0
320,18/03/2022,11:19:00 a. m.,0,0,0
321,18/03/2022,11:20:00 a. m.,0,834,195
322,18/03/2022,11:21:00 a. m.,57,1125,423
323,18/03/2022,11:22:00 a. m.,108,84,382
324,18/03/2022,11:23:00 a. m.,133,342,231
325,18/03/2022,11:24:00 a. m.,93,724,24
326,18/03/2022,11:25:00 a. m.,132,1135,183
327,18/03/2022,11:26:00 a. m.,137,446,149
328,18/03/2022,11:27:00 a. m.,56,1068,337
329,18/03/2022,11:28:00 a. m.,136,371,423
330,18/03/2022,11:29:00 a. m.,152,934,120
331,18/03/2022,11:30:00 a. m.,48,322,238
332,18/03/2022,11:31:00 a. m.,13,258,116
333,18/03/2022,11:32:00 a. m.,48,507,13
334,18/03/2022,11:33:00 a. m.,129,495,34
335,18/03/2022,11:34:00 a. m.,20,251,170
336,18/03/2022,11:35:00 a. m.,60,573,397
337,18/03/2022,11:36:00 a. m.,38,292,154
338,18/03/2022,11:37:00 a. m.,94,20,146
339,18/03/2022,11:38:00 a. m.,84,77,381
340,18/03/2022,11:39:00 a. m.,143,803,412
341,18/03/2022,11:40:00 a. m.,136,641,92
342,18/03/2022,11:41:00 a. m.,147,933,324
343,18/03/2022,11:42:00 a. m.,5,994,43
344,18/03/2022,11:43:00 a. m.,134,1175,331
345,18/03/2022,11:44:00 a. m.,26,343,139
346,18/03/2022,11:45:00 a. m.,2,2,7
347,18/03/2022,11:46:00 a. m.,49,479,82
348,18/03/2022,11:47:00 a. m.,28,432,50
349,18/03/2022,11:48:00 a. m.,44,281,279
350,18/03/2022,11:49:00 a. m.,28,705,240
351,18/03/2022,11:50:00 a. m.,81,370,225
352,18/03/2022,11:51:00 a. m.,125,251,174
353,18/03/2022,11:52:00 a. m.,16,781,359
354,18/03/2022,11:53:00 a. m.,70,1120,29
355,18/03/2022,11:54:00 a. m.,70,755,212
356,18/03/2022,11:55:00 a. m.,149,962,280
357,18/03/2022,11:56:00 a. m.,36,357,7
358,18/03/2022,11:57:00 a. m.,86,1177,281
359,18/03/2022,11:58:00 a. m.,101,817,340
360,18/03/2022,11:59:00 a. m.,2,320,138
361,18/03/2022,12:00:00 p. m.,18,859,282
362,18/03/2022,12:01:00 p. m.,97,889,169
363,18/03/2022,12:02:00 p. m.,126,854,81
364,18/03/2022,12:03:00 p. m.,51,1217,9
365,18/03/2022,12:04:00 p. m.,153,924,138
366,18/03/2022,12:05:00 p. m.,17,448,230
367,18/03/2022,12:06:00 p. m.,28,1052,90
368,18/03/2022,12:07:00 p. m.,88,60,414
369,18/03/2022,12:08:00 p. m.,3,1193,205
370,18/03/2022,12:09:00 p. m.,95,317,211
371,18/03/2022,12:10:00 p. m.,32,488,424
372,18/03/2022,12:11:00 p. m.,55,33,383
373,18/03/2022,12:12:00 p. m.,91,544,86
374,18/03/2022,12:13:00 p. m.,5,276,414
375,18/03/2022,12:14:00 p. m.,98,794,326
376,18/03/2022,12:15:00 p. m.,7,76,152
377,18/03/2022,12:16:00 p. m.,23,91,239
378,18/03/2022,12:17:00 p. m.,118,53,16
379,18/03/2022,12:18:00 p. m.,43,696,390
380,18/03/2022,12:19:00 p. m.,89,355,134
381,18/03/2022,12:20:00 p. m.,109,519,371
382,18/03/2022,12:21:00 p. m.,90,811,36
383,18/03/2022,12:22:00 p. m.,82,864,390
384,18/03/2022,12:23:00 p. m.,45,1153,55
385,18/03/2022,12:24:00 p. m.,74,451,327
386,18/03/2022,12:25:00 p. m.,101,1084,35
387,18/03/2022,12:26:00 p. m.,60,1063,67
388,18/03/2022,12:27:00 p. m.,9,598,236
389,18/03/2022,12:28:00 p. m.,14,1028,247
390,18/03/2022,12:29:00 p. m.,2,294,328
391,18/03/2022,12:30:00 p. m.,100,1247,318
392,18/03/2022,12:31:00 p. m.,133,985,323
393,18/03/2022,12:32:00 p. m.,72,565,162
394,18/03/2022,12:33:00 p. m.,129,1148,305
395,18/03/2022,12:34:00 p. m.,149,458,9
396,18/03/2022,12:35:00 p. m.,108,265,123
397,18/03/2022,12:36:00 p. m.,26,1081,417
398,18/03/2022,12:37:00 p. m.,24,192,84
399,18/03/2022,12:38:00 p. m.,154,1163,388
400,18/03/2022,12:39:00 p. m.,115,88,375
401,18/03/2022,12:40:00 p. m.,137,542,64
402,18/03/2022,12:41:00 p. m.,68,397,356
403,18/03/2022,12:42:00 p. m.,107,221,234
404,18/03/2022,12:43:00 p. m.,31,14,368
405,18/03/2022,12:44:00 p. m.,70,641,345
406,18/03/2022,12:45:00 p. m.,76,104,9
407,18/03/2022,12:46:00 p. m.,84,390,155
408,18/03/2022,12:47:00 p. m.,26,159,341
409,18/03/2022,12:48:00 p. m.,37,240,251
410,18/03/2022,12:49:00 p. m.,100,438,79
411,18/03/2022,12:50:00 p. m.,42,558,353
412,18/03/2022,12:51:00 p. m.,60,452,259
413,18/03/2022,12:52:00 p. m.,39,417,148
414,18/03/2022,12:53:00 p. m.,101,1241,299
415,18/03/2022,12:54:00 p. m.,112,1247,226
416,18/03/2022,12:55:00 p. m.,140,482,164
417,18/03/2022,12:56:00 p. m.,133,136,245
418,18/03/2022,12:57:00 p. m.,89,466,417
419,18/03/2022,12:58:00 p. m.,73,727,215
420,18/03/2022,12:59:00 p. m.,132,1236,18
421,18/03/2022,01:00:00 p. m.,141,1127,189
422,18/03/2022,01:01:00 p. m.,23,491,430
423,18/03/2022,01:02:00 p. m.,79,1171,136
424,18/03/2022,01:03:00 p. m.,96,409,232
425,18/03/2022,01:04:00 p. m.,140,801,268
426,18/03/2022,01:05:00 p. m.,100,738,323
427,18/03/2022,01:06:00 p. m.,123,425,31
428,18/03/2022,01:07:00 p. m.,29,107,6
429,18/03/2022,01:08:00 p. m.,99,346,234
430,18/03/2022,01:09:00 p. m.,44,114,423
431,18/03/2022,01:10:00 p. m.,39,554,114
432,18/03/2022,01:11:00 p. m.,97,462,277
433,18/03/2022,01:12:00 p. m.,12,317,309
434,18/03/2022,01:13:00 p. m.,33,259,138
435,18/03/2022,01:14:00 p. m.,111,872,217
436,18/03/2022,01:15:00 p. m.,111,749,389
437,18/03/2022,01:16:00 p. m.,71,499,245
438,18/03/2022,01:17:00 p. m.,133,1205,6
439,18/03/2022,01:18:00 p. m.,86,723,303
440,18/03/2022,01:19:00 p. m.,122,962,89
441,18/03/2022,01:20:00 p. m.,99,287,263
442,18/03/2022,01:21:00 p. m.,72,551,380
443,18/03/2022,01:22:00 p. m.,150,196,17
444,18/03/2022,01:23:00 p. m.,97,979,410
445,18/03/2022,01:24:00 p. m.,27,394,417
446,18/03/2022,01:25:00 p. m.,120,269,270
447,18/03/2022,01:26:00 p. m.,8,568,8
448,18/03/2022,01:27:00 p. m.,2,141,96
449,18/03/2022,01:28:00 p. m.,148,1024,99
450,18/03/2022,01:29:00 p. m.,96,1050,389
451,18/03/2022,01:30:00 p. m.,51,894,163
452,18/03/2022,01:31:00 p. m.,104,985,365
453,18/03/2022,01:32:00 p. m.,64,408,124
454,18/03/2022,01:33:00 p. m.,31,883,420
455,18/03/2022,01:34:00 p. m.,100,719,191
456,18/03/2022,01:35:00 p. m.,1,1045,71
457,18/03/2022,01:36:00 p. m.,33,1244,273
458,18/03/2022,01:37:00 p. m.,135,580,320
459,18/03/2022,01:38:00 p. m.,111,354,354
460,18/03/2022,01:39:00 p. m.,46,226,44
461,18/03/2022,01:40:00 p. m.,27,382,344
462,18/03/2022,01:41:00 p. m.,30,208,168
463,18/03/2022,01:42:00 p. m.,112,694,16
464,18/03/2022,01:43:00 p. m.,81,1242,412
465,18/03/2022,01:44:00 p. m.,85,311,368
466,18/03/2022,01:45:00 p. m.,5,183,421
467,18/03/2022,01:46:00 p. m.,35,625,298
468,18/03/2022,01:47:00 p. m.,46,769,366
469,18/03/2022,01:48:00 p. m.,24,185,112
470,18/03/2022,01:49:00 p. m.,39,531,407
471,18/03/2022,01:50:00 p. m.,75,798,96
472,18/03/2022,01:51:00 p. m.,100,883,29
473,18/03/2022,01:52:00 p. m.,59,64,76
474,18/03/2022,01:53:00 p. m.,15,78,314
475,18/03/2022,01:54:00 p. m.,61,144,303
476,18/03/2022,01:55:00 p. m.,55,83,53
477,18/03/2022,01:56:00 p. m.,6,669,76
478,18/03/2022,01:57:00 p. m.,50,770,286
479,18/03/2022,01:58:00 p. m.,31,657,88
480,18/03/2022,01:59:00 p. m.,94,911,114
481,18/03/2022,02:00:00 p. m.,152,650,103
482,18/03/2022,02:01:00 p. m.,106,1166,161
483,18/03/2022,02:02:00 p. m.,50,80,377
484,18/03/2022,02:03:00 p. m.,60,682,47
485,18/03/2022,02:04:00 p. m.,79,969,21
486,18/03/2022,02:05:00 p. m.,75,394,426
487,18/03/2022,02:06:00 p. m.,144,711,211
488,18/03/2022,02:07:00 p. m.,37,961,419
489,18/03/2022,02:08:00 p. m.,151,729,354
490,18/03/2022,02:09:00 p. m.,134,794,404
491,18/03/2022,02:10:00 p. m.,67,1160,97
492,18/03/2022,02:11:00 p. m.,132,784,257
493,18/03/2022,02:12:00 p. m.,139,168,197
494,18/03/2022,02:13:00 p. m.,43,535,225
495,18/03/2022,02:14:00 p. m.,80,882,138
496,18/03/2022,02:15:00 p. m.,85,1030,91
497,18/03/2022,02:16:00 p. m.,95,762,359
498,18/03/2022,02:17:00 p. m.,120,1058,245
499,18/03/2022,02:18:00 p. m.,118,270,11
500,18/03/2022,02:19:00 p. m.,96,723,390
501,18/03/2022,02:20:00 p. m.,17,1106,28
502,18/03/2022,02:21:00 p. m.,114,902,264
503,18/03/2022,02:22:00 p. m.,93,346,260
504,18/03/2022,02:23:00 p. m.,45,914,239
505,18/03/2022,02:24:00 p. m.,79,1013,384
506,18/03/2022,02:25:00 p. m.,88,1201,206
507,18/03/2022,02:26:00 p. m.,138,15,155
508,18/03/2022,02:27:00 p. m.,54,1166,27
509,18/03/2022,02:28:00 p. m.,7,1040,146
510,18/03/2022,02:29:00 p. m.,130,438,395
511,18/03/2022,02:30:00 p. m.,112,940,407
512,18/03/2022,02:31:00 p. m.,88,364,314
513,18/03/2022,02:32:00 p. m.,61,797,81
514,18/03/2022,02:33:00 p. m.,132,909,338
515,18/03/2022,02:34:00 p. m.,115,453,148
516,18/03/2022,02:35:00 p. m.,55,925,126
517,18/03/2022,02:36:00 p. m.,118,276,31
518,18/03/2022,02:37:00 p. m.,54,1217,43
519,18/03/2022,02:38:00 p. m.,135,390,140
520,18/03/2022,02:39:00 p. m.,120,196,233
521,18/03/2022,02:40:00 p. m.,120,474,156
522,18/03/2022,02:41:00 p. m.,81,556,19
523,18/03/2022,02:42:00 p. m.,18,450,44
524,18/03/2022,02:43:00 p. m.,21,1188,245
525,18/03/2022,02:44:00 p. m.,49,632,59
526,18/03/2022,02:45:00 p. m.,73,88,266
527,18/03/2022,02:46:00 p. m.,136,652,370
528,18/03/2022,02:47:00 p. m.,92,230,89
529,18/03/2022,02:48:00 p. m.,130,903,167
530,18/03/2022,02:49:00 p. m.,122,466,220
531,18/03/2022,02:50:00 p. m.,98,383,355
532,18/03/2022,02:51:00 p. m.,125,318,130
533,18/03/2022,02:52:00 p. m.,2,589,231
534,18/03/2022,02:53:00 p. m.,45,1066,367
535,18/03/2022,02:54:00 p. m.,148,1028,362
